,tweets,hashtags,mentions
0,Check out what I'm selling: Apple AirPods Pro 2nd Generation with Charging Case in White: #mercari… https://t.co/VnCsz8xdWp,mercari,mercari
1,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…","Giveaway,Follow,RT,Tag","Giveaway,Follow,RT,Tag"
2,@KbNueve87 @iphone15pro J’en peux plus de ce club on a pas le droit au bonheur ptn,,
3,@mangeTaSoeeur @iphone15pro La mm ptdr,,
4,Pitie sors vite @iphone15pro je veux t’acheter pour me remonter le moral,,
5,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,iPhone15Pro,iPhone15Pro
6,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…","Giveaway,Follow,RT,Tag","Giveaway,Follow,RT,Tag"
7,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…","Giveaway,Follow,RT,Tag","Giveaway,Follow,RT,Tag"
8,"RT @rivervisual_id: Can you spot the different?
@ianzelbo
 
@9to5mac
Right iPhone 15, Left iPhone 14.
#iphone15 #iphone15pro #appleleaks #i…","iphone15,iphone15pro,appleleaks,i","iphone15,iphone15pro,appleleaks,i"
9,"RT @TechScoreNY: How's dis' for a design ?? 👍👎
#iphone15pro #appleiphone #concept https://t.co/XHExNz7jau","iphone15pro,appleiphone,concept","iphone15pro,appleiphone,concept"
10,"#iPhone15Pro #感圧式ボタン #Apple
iPhone15 Proの感圧式ボタンはケース越しでも動作する！〜新次元の疑似スイッチかも〜 - カスタム/CUSTOM/でいこう😎
https://t.co/AIVvWnrnny","iPhone15Pro,感圧式ボタン,Apple","iPhone15Pro,感圧式ボタン,Apple"
11,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…","Giveaway,Follow,RT,Tag","Giveaway,Follow,RT,Tag"
12,"This years iPhone 15 Pro models will also be coming in a new burgundy color option.
The standard iPhone 15 models w… https://t.co/nQP12OC6l1",,
13,RT @ekonyan8: 帰宅中やまぴから送られてきた癒し、、♡というかわたしのスマホだとこんなに可愛く撮れないんですけど！ぬいぐるみですやん！！今年は絶対iPhone15Proを買うぞ　#ハムスター https://t.co/TOApqph2C6,ハムスター,ハムスター
14,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…","Giveaway,Follow,RT,Tag","Giveaway,Follow,RT,Tag"
