,tweets,Created_at,id,userid,date,source,likes,retweets
0,Check out what I'm selling: Apple AirPods Pro 2nd Generation with Charging Case in White: #mercari… https://t.co/VnCsz8xdWp,2023-03-03 00:20:09+00:00,1631449345189969921,1596696607159980032,2023-03-03 00:20:09+00:00,Twitter for Android,0,0
1,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-03 00:03:27+00:00,1631445142166024195,36143299,2023-03-03 00:03:27+00:00,Twitter Web App,0,356
2,@KbNueve87 @iphone15pro J’en peux plus de ce club on a pas le droit au bonheur ptn,2023-03-02 23:57:46+00:00,1631443713518886917,741035602834030593,2023-03-02 23:57:46+00:00,Twitter for iPhone,0,0
3,@mangeTaSoeeur @iphone15pro La mm ptdr,2023-03-02 23:56:17+00:00,1631443341224079364,1044278089801519106,2023-03-02 23:56:17+00:00,Twitter for iPhone,1,0
4,Pitie sors vite @iphone15pro je veux t’acheter pour me remonter le moral,2023-03-02 23:39:28+00:00,1631439108928163840,741035602834030593,2023-03-02 23:39:28+00:00,Twitter for iPhone,1,0
5,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 23:09:29+00:00,1631431560384708609,450022972,2023-03-02 23:09:29+00:00,Twitter for iPhone,0,18
6,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 23:05:19+00:00,1631430514405003266,1456724934558986242,2023-03-02 23:05:19+00:00,Twitter for Android,0,356
7,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 22:50:29+00:00,1631426782111887360,156631930,2023-03-02 22:50:29+00:00,Twitter Web App,0,356
8,"RT @rivervisual_id: Can you spot the different?
@ianzelbo
 
@9to5mac
Right iPhone 15, Left iPhone 14.
#iphone15 #iphone15pro #appleleaks #i…",2023-03-02 22:48:00+00:00,1631426156795777024,194404188,2023-03-02 22:48:00+00:00,Twitter for iPhone,0,3
9,"RT @TechScoreNY: How's dis' for a design ?? 👍👎
#iphone15pro #appleiphone #concept https://t.co/XHExNz7jau",2023-03-02 22:03:42+00:00,1631415007513841666,1291587444014424065,2023-03-02 22:03:42+00:00,Twitter for iPhone,0,1
10,"#iPhone15Pro #感圧式ボタン #Apple
iPhone15 Proの感圧式ボタンはケース越しでも動作する！〜新次元の疑似スイッチかも〜 - カスタム/CUSTOM/でいこう😎
https://t.co/AIVvWnrnny",2023-03-02 22:00:07+00:00,1631414104786341888,594237468,2023-03-02 22:00:07+00:00,Hatena Blog / はてなブログ,0,0
