,tweets,id,len,date,source,likes,retweets
0,Another iPhone survives a week underwater after being accidentally dropped into a lake https://t.co/n1uatmkHTO,1631448944575127553,110,2023-03-03 00:18:33+00:00,dlvr.it,0,1
1,Tweetbot and Twitterrific Users Can Support the Developers by Declining Subscription Refunds https://t.co/dvqsIR2lPu,1631365898341875712,116,2023-03-02 18:48:34+00:00,dlvr.it,1,1
2,"Thursday’s best deals: 12.9-inch M1 iPad Pro $299 off, Satechi iPhone 14 power bank $85, more https://t.co/iH6VFtVvjp",1631351797758697472,117,2023-03-02 17:52:32+00:00,dlvr.it,1,0
3,"Fitbit is partially down again, crashing on iPhones https://t.co/wRbBlwR1AB",1631343368612773893,75,2023-03-02 17:19:02+00:00,dlvr.it,1,0
4,Apple's Headset to Bring Continuity Features into 'Extended Reality' https://t.co/PR1B4HNgy1,1631324771920257025,92,2023-03-02 16:05:08+00:00,dlvr.it,3,0
5,"CASETiFY showcases new Mandalorian Apple accessory collection with Beskar iPhone 14 case, more https://t.co/tkuR6RhOy3",1631318832890478593,118,2023-03-02 15:41:32+00:00,dlvr.it,5,0
6,iPhone 15 Pro's Next-Gen Chip Capabilities Expected to Spark Upgrade Demand Among Current iPhone Owners https://t.co/gHMssxHGCe,1631316694470893568,127,2023-03-02 15:33:03+00:00,dlvr.it,8,1
7,watchOS 9.4 to Recalibrate Battery Capacity on 44mm Apple Watch Series 6 https://t.co/U93IVSszQF,1631068939668295680,96,2023-03-01 23:08:33+00:00,dlvr.it,2,0
8,"Pedometer++ app revamped with iPhone workout tracking, rich maps on Apple Watch, more https://t.co/qqvbcrGAUa",1631047547551899648,109,2023-03-01 21:43:33+00:00,dlvr.it,6,1
9,"Apple boosts trade-in values for iPhone, iPad, Mac, and Apple Watch https://t.co/HgqFfHsDkR",1631014328433365010,91,2023-03-01 19:31:33+00:00,dlvr.it,1,1
10,"Apple Increases Trade-In Values for Select iPhones, iPads and Macs https://t.co/hllUeCHec1",1631011710638358529,90,2023-03-01 19:21:09+00:00,dlvr.it,1,2
11,It’s now more expensive to have Apple replace your iPhone’s battery https://t.co/2TgOcsyrLB,1631006022495076364,91,2023-03-01 18:58:33+00:00,dlvr.it,5,2
12,"Apple Now Charging More for Out-of-Warranty Battery Replacements on iPhones, iPads and Macs https://t.co/luHbEhbjRT",1631003653564952577,115,2023-03-01 18:49:08+00:00,dlvr.it,2,1
13,"Deals: M2 Mac mini Amazon lows start at $549, iPhone 14 MagSafe leather cases $39, more https://t.co/d03m7AXp1Q",1630997716749746194,111,2023-03-01 18:25:32+00:00,dlvr.it,4,0
14,iPhone 15 Pro’s A17 Bionic likely Apple’s first 3nm chip; here’s what that means https://t.co/IgQj6pW0sH,1630972948826685456,104,2023-03-01 16:47:07+00:00,dlvr.it,10,0
15,What iPhone color is most popular? Here’s what the data shows https://t.co/NzP9d0K5PM,1630964749893550081,85,2023-03-01 16:14:32+00:00,dlvr.it,6,1
16,"Twitter Down, Many Users Unable to Access Timelines [Update: Fixed] https://t.co/OtsDno5OFm",1630954191207186432,91,2023-03-01 15:32:35+00:00,dlvr.it,4,2
17,"Apple modem expected in iPhone 16, says Qualcomm CEO https://t.co/GOj4RcE3ym",1630939743302156297,76,2023-03-01 14:35:10+00:00,dlvr.it,3,1
18,"Everything New in iOS 16.4 Beta 2: Apple Books Changes, Apple Music Classical Mentions, Apple Pay in South Korea an… https://t.co/7oiNXLNaXS",1630698497409425408,140,2023-02-28 22:36:33+00:00,dlvr.it,15,2
19,Here’s how to use the full 48MP iPhone 14 Pro camera https://t.co/dfZ9b0ZGH8,1630675974970040320,76,2023-02-28 21:07:03+00:00,dlvr.it,8,0
20,Apple Seeds Second Betas of iOS 16.4 and iPadOS 16.4 to Developers https://t.co/qpO4LTPkBV,1630641494322466821,90,2023-02-28 18:50:02+00:00,dlvr.it,5,2
21,iPhone Clean Energy Charging: Here’s how it works https://t.co/8xd1iUKqz1,1630635204082806784,73,2023-02-28 18:25:03+00:00,dlvr.it,7,5
22,Apple Seeds Second Beta of watchOS 9.4 to Developers https://t.co/qXDsQd2gLI,1630633189969412101,76,2023-02-28 18:17:02+00:00,dlvr.it,2,1
23,Apple Responds to EU's Decision to Narrow Antitrust Case Prompted by Spotify https://t.co/sbcl91Wc5N,1630625017133187081,100,2023-02-28 17:44:34+00:00,dlvr.it,4,1
24,Microsoft Announces iMessage Support on Windows With Several Limitations https://t.co/wX9Y0CprtR,1630616707529162768,96,2023-02-28 17:11:33+00:00,dlvr.it,1,0
25,"Next Year's iPhone 16 Pro Still on Track to Feature Under-Display Face ID, Followed By Under-Display Selfie Camera… https://t.co/lcbzYtH7QW",1630608530175557634,139,2023-02-28 16:39:03+00:00,dlvr.it,6,1
26,"9to5Mac Daily: February 28, 2023 – iPhone SE 4, Apple 5G chips https://t.co/u44XvAeFo7",1630602234571501568,86,2023-02-28 16:14:02+00:00,dlvr.it,5,0
27,iPhone 15's Dynamic Island Poses Production Difficulties for One Apple Supplier https://t.co/uWvdpx6TnV,1630600101558198272,103,2023-02-28 16:05:33+00:00,dlvr.it,4,0
28,"Embedded Face ID for iPhone 16 Pro, but Apple won’t rush to follow Samsung https://t.co/DspjgOqQ86",1630593937022021638,98,2023-02-28 15:41:04+00:00,dlvr.it,5,0
29,iPhone 15 USB-C Cables Without MFi Badge May Have Data Transfer and Charging Speed Limits https://t.co/HCYBDDKhsb,1630591794294714369,113,2023-02-28 15:32:33+00:00,dlvr.it,7,0
30,"Let us test it, @onbeeper! 🤩 https://t.co/5FKhUm8cJG",1630583955618508802,52,2023-02-28 15:01:24+00:00,Twitter Web App,3,0
31,"USB-C iPhone speeds will be limited if you use non-MFi cables, claims leaker https://t.co/HRj4fs8JAP",1630569402939711490,100,2023-02-28 14:03:34+00:00,dlvr.it,8,2
32,Hands-on: CASETiFY’s new iPhone 14 cases from ‘The Office’ deliver Dunder Mifflin stylings https://t.co/0yPhd3MisE,1630399901023739904,114,2023-02-28 02:50:02+00:00,dlvr.it,1,0
33,WhatsApp for iPhone now lets you easily create your own stickers from your photos https://t.co/DyvpIpnQEI,1630391845611249664,105,2023-02-28 02:18:01+00:00,dlvr.it,8,2
34,Apple Working on AR/VR Headset Technology to Help People With Eye Diseases https://t.co/3xwXZ8IP2z,1630368703412944897,98,2023-02-28 00:46:04+00:00,dlvr.it,0,0
35,Video: iPhone 14 Pro makes a last-minute comeback in speed test against Galaxy S23 Ultra https://t.co/k63vYClEDJ,1630281247044820993,112,2023-02-27 18:58:33+00:00,dlvr.it,3,1
36,"Pokemon Sleep is coming to iPhone this summer, here it is in action https://t.co/kIcSx8z0Ue",1630272958139871232,91,2023-02-27 18:25:36+00:00,dlvr.it,1,0
37,Report: Apple has two hurdles to overcome before flagship iPhones can ditch Qualcomm 5G modems https://t.co/WedgEN8uGg,1630264386140114944,118,2023-02-27 17:51:33+00:00,dlvr.it,2,0
38,Kuo: Apple resumes iPhone SE 4 development with larger OLED display and in-house 5G chip https://t.co/f5ryBvxT34,1630256455398879233,112,2023-02-27 17:20:02+00:00,dlvr.it,6,0
39,Kuo: New iPhone SE With 6.1-Inch OLED Display and Apple's 5G Chip Planned https://t.co/ij3Hfqr8F6,1630254577353195522,97,2023-02-27 17:12:34+00:00,dlvr.it,7,0
40,Apple Discontinued the Newton 25 Years Ago Today https://t.co/mxSUDdte9y,1630246541687668736,72,2023-02-27 16:40:38+00:00,dlvr.it,2,1
41,Apple Reportedly Has Secretive 'Startup' Team Working on Experimental Technologies for Future Devices https://t.co/VgsZc8oMkm,1630238092241309696,125,2023-02-27 16:07:04+00:00,dlvr.it,3,0
42,Qualcomm CEO Expects Apple's 5G Chip to Start Rolling Out Next Year https://t.co/6ULljJ1SRx,1630229656870993920,91,2023-02-27 15:33:33+00:00,dlvr.it,4,0
43,Free iPhones among the incentives used to recruit and retain aviation workers https://t.co/QOLxtAqohs,1630223625167990786,101,2023-02-27 15:09:34+00:00,dlvr.it,3,1
